question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
Python: Implement the Floyd-Warshall algorithm (all pairs shortest paths).,Python: Floyd-Warshall 알고리즘을 구현합니다(모든 최단 경로 쌍).,"# Python Program for Floyd Warshall Algorithm
 
# Number of vertices in the graph
V = 4
 
# Define infinity as the large enough value. This value will be
# used for vertices not connected to each other
INF  = 99999
 
# Solves all pair shortest path via Floyd Warshall Algrorithm
def floydWarshall(graph):
 
    """""" dist[][] will be the output matrix that will finally
        have the shortest distances between every pair of vertices """"""
    """""" initializing the solution matrix same as input graph matrix
    OR we can say that the initial values of shortest distances
    are based on shortest paths considerting no 
    intermedidate vertices """"""
    dist = map(lambda i : map(lambda j : j , i) , graph)
     
    """""" Add all vertices one by one to the set of intermediate
     vertices.
     ---> Before start of a iteration, we have shortest distances
     between all pairs of vertices such that the shortest
     distances consider only the vertices in set 
    {0, 1, 2, .. k-1} as intermediate vertices.
      ----> After the end of a iteration, vertex no. k is
     added to the set of intermediate vertices and the 
    set becomes {0, 1, 2, .. k}
    """"""
    for k in range(V):
 
        # pick all vertices as source one by one
        for i in range(V):
 
            # Pick all vertices as destination for the
            # above picked source
            for j in range(V):
 
                # If vertex k is on the shortest path from 
                # i to j, then update the value of dist[i][j]
                dist[i][j] = min(dist[i][j] ,
                                  dist[i][k]+ dist[k][j]
                                )
    printSolution(dist)
 
 
# A utility function to print the solution
def printSolution(dist):
    print ""Following matrix shows the shortest distances\
 between every pair of vertices""
    for i in range(V):
        for j in range(V):
            if(dist[i][j] == INF):
                print ""%7s"" %(""INF""),
            else:
                print ""%7d\t"" %(dist[i][j]),
            if j == V-1:
                print """"
 
 
 
# Driver program to test the above program
# Let us create the following weighted graph
""""""
            10
       (0)------->(3)
        |         /|\
      5 |          |
        |          | 1
       \|/         |
       (1)------->(2)
            3           """"""
graph = [[0,5,INF,10],
             [INF,0,3,INF],
             [INF, INF, 0,   1],
             [INF, INF, INF, 0]
        ]
# Print the solution
floydWarshall(graph);
# This code is contributed by Nikhil Kumar Singh(nickzuck_007)","# Python Program for Floyd Warshall Algorithm
 
# Number of vertices in the graph
V = 4
 
# Define infinity as the large enough value. This value will be
# used for vertices not connected to each other
INF  = 99999
 
# Solves all pair shortest path via Floyd Warshall Algrorithm
def floydWarshall(graph):
 
    """""" dist[][] will be the output matrix that will finally
        have the shortest distances between every pair of vertices """"""
    """""" initializing the solution matrix same as input graph matrix
    OR we can say that the initial values of shortest distances
    are based on shortest paths considerting no 
    intermedidate vertices """"""
    dist = map(lambda i : map(lambda j : j , i) , graph)
     
    """""" Add all vertices one by one to the set of intermediate
     vertices.
     ---> Before start of a iteration, we have shortest distances
     between all pairs of vertices such that the shortest
     distances consider only the vertices in set 
    {0, 1, 2, .. k-1} as intermediate vertices.
      ----> After the end of a iteration, vertex no. k is
     added to the set of intermediate vertices and the 
    set becomes {0, 1, 2, .. k}
    """"""
    for k in range(V):
 
        # pick all vertices as source one by one
        for i in range(V):
 
            # Pick all vertices as destination for the
            # above picked source
            for j in range(V):
 
                # If vertex k is on the shortest path from 
                # i to j, then update the value of dist[i][j]
                dist[i][j] = min(dist[i][j] ,
                                  dist[i][k]+ dist[k][j]
                                )
    printSolution(dist)
 
 
# A utility function to print the solution
def printSolution(dist):
    print ""Following matrix shows the shortest distances\
 between every pair of vertices""
    for i in range(V):
        for j in range(V):
            if(dist[i][j] == INF):
                print ""%7s"" %(""INF""),
            else:
                print ""%7d\t"" %(dist[i][j]),
            if j == V-1:
                print """"
 
 
 
# Driver program to test the above program
# Let us create the following weighted graph
""""""
            10
       (0)------->(3)
        |         /|\
      5 |          |
        |          | 1
       \|/         |
       (1)------->(2)
            3           """"""
graph = [[0,5,INF,10],
             [INF,0,3,INF],
             [INF, INF, 0,   1],
             [INF, INF, INF, 0]
        ]
# Print the solution
floydWarshall(graph);
# This code is contributed by Nikhil Kumar Singh(nickzuck_007)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does __getitem__ in a class allow us to use?,수업에서 __getitem__는 무엇을 사용할 수 있게 하나요?,"- iteration
- slicing
- reverse iteration
- random.choice","- 반복
- 슬라이싱
- 역반복
- 무작위 선택",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the difference between __str__ and __repr__?,__str__와 __repr__의 차이점은 무엇인가요?,"def __str__(self): - meant to be human readable
def __repr__(self): - mean to represent the object and be unambiguous, usually as the constructor: for a Vector class, would be:
   
def __repr__(self):
    return ""Vector({!r}, {!r})"".format(self.x, self.y)
    OR
    return ""Vector(%r, %r)"" % (self.x, self.y)


Containers use __repr__ of elements when __str__ is called on container.","def __str__(자체): - 사람이 읽을 수 있도록 설계되었습니다
def __repr__(self): - 객체를 표현하고 명확하게 표현하는 것을 의미하며, 일반적으로 벡터 클래스의 경우 다음과 같습니다:
   
def __repr__(자체):
    ""Vector({!r}, {!r})""""format(self.x, self.y)을 반환합니다
    또는
    ""Vector(%r, %r)"" % (self.x, self.y)를 반환합니다


컨테이너는 __str__가 컨테이너에 호출될 때 __repr__ 요소를 사용합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"C: Method to find a given item x in a linked list. Head is a List *, x's data type is item_type","C: 링크된 목록에서 주어진 항목 x를 찾는 방법. 머리는 목록 *이고, x의 데이터 유형은 항목_type입니다","List *search_list(List *l, item_type x)
{
  if (l == NULL) return(NULL);

  if (l->item == x)
    return(l);
  else
    return search_list(l->next, x);
}","List *search_list(List *l, item_type x)
{
  if (l == NULL) return(NULL);

  if (l->item == x)
    return(l);
  else
    return search_list(l->next, x);
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"C: Method to insert a given item x into a linked list. Head is a List *, x's data type is item_type","C: 주어진 항목 x를 연결된 목록에 삽입하는 방법. 머리는 목록 *이고, x의 데이터 유형은 항목_type입니다","void insert_list(List **l, item_type x) {
  List *p;

  p = malloc(sizeof(List));
  p->item = x;
  p->next = *l;
  *l = p;
}","void insert_list(List **l, item_type x) {
  List *p;

  p = malloc(sizeof(List));
  p->item = x;
  p->next = *l;
  *l = p;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
C: Method to return the nth item from the end of a linked list.,C: Method to return the nth item from the end of a linked list.,"int value_n_from_end(node_t *head, int n) {
  if (n < 1 || head == NULL) {
    printf(""Cannot get nth item from end."");
    exit(EXIT_FAILURE);
  }

  node_t *current = head;
  node_t *match = head;

  for (int i = 0; i < n && current; ++i) {
    current = current->next;
  }

  if (i != n) {
    printf(""List is too short to get nth item from end."");
    exit(EXIT_FAILURE);
  }

  while (current) {
    current = current->next;
    match = match->next;
  }

  return match->val;
}","int value_n_from_end(node_t *head, int n) {
  if (n < 1 || head == NULL) {
    printf(""Cannot get nth item from end."");
    exit(EXIT_FAILURE);
  }

  node_t *current = head;
  node_t *match = head;

  for (int i = 0; i < n && current; ++i) {
    current = current->next;
  }

  if (i != n) {
    printf(""List is too short to get nth item from end."");
    exit(EXIT_FAILURE);
  }

  while (current) {
    current = current->next;
    match = match->next;
  }

  return match->val;
}",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many subsets are there in n items?,n개의 항목에 몇 개의 하위 집합이 있나요?,2^n,2^n,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Python: Given an array of non negative numbers and a total, is there subset of numbers in this array which adds up to given total.","파이썬: 음수가 아닌 숫자들의 배열과 총합이 주어졌을 때, 이 배열에는 주어진 총합을 더한 숫자들의 부분 집합이 존재할까요.","""""""
* Time complexity is O(input.size * total_sum)
* Space complexity is O(input.size*total_sum)
""""""

def subset_sum(sequence, sum_value):
    cols = sum_value + 1         # Plus 1 for 0 valued col.
    rows = len(sequence) + 1     # Plus 1 for 0 valued row.
    T = [[False for _ in range(cols)] for _ in range(rows)]

    for row in range(rows):
        T[row][0] = True

    for index_i in range(1, rows):
        for index_j in range(1, cols):
            if index_j >= sequence[index_i - 1]:
                T[index_i][index_j] = T[index_i - 1][index_j] or T[index_i - 1][index_j - sequence[index_i - 1]]
            else:
                T[index_i][index_j] = T[index_i - 1][index_j]

    return T[rows - 1][cols - 1]


if __name__ == '__main__':
    sequence = [2, 3, 7, 8]
    assert True == subset_sum(sequence, 11)","""""""
* Time complexity is O(input.size * total_sum)
* Space complexity is O(input.size*total_sum)
""""""

def subset_sum(sequence, sum_value):
    cols = sum_value + 1         # Plus 1 for 0 valued col.
    rows = len(sequence) + 1     # Plus 1 for 0 valued row.
    T = [[False for _ in range(cols)] for _ in range(rows)]

    for row in range(rows):
        T[row][0] = True

    for index_i in range(1, rows):
        for index_j in range(1, cols):
            if index_j >= sequence[index_i - 1]:
                T[index_i][index_j] = T[index_i - 1][index_j] or T[index_i - 1][index_j - sequence[index_i - 1]]
            else:
                T[index_i][index_j] = T[index_i - 1][index_j]

    return T[rows - 1][cols - 1]


if __name__ == '__main__':
    sequence = [2, 3, 7, 8]
    assert True == subset_sum(sequence, 11)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"What is a contiguously-allocated structures, and give examples.","연속적으로 할당된 구조란 무엇이며, 예를 들어 설명해 주세요.","Contiguously-allocated structures are composed of single slabs of memory, and include arrays, matrices, heaps, and hash tables.","연속적으로 할당된 구조는 단일 메모리 슬래브로 구성되며 배열, 행렬, 힙, 해시 테이블을 포함합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are linked data structures and give examples.,연결된 데이터 구조란 무엇이며 예시를 제공합니다.,"Linked data structures are composed of distinct chunks of memory bound together by pointers, and include lists, trees, and graph adjacency lists.","연결된 데이터 구조는 포인터로 결합된 별개의 메모리 덩어리로 구성되며, 리스트, 트리, 그래프 인접 리스트를 포함합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are some benefits of arrays?,배열의 장점은 무엇인가요?,"- Constant-time access given the index
- Space efficiency
- Memory locality","- 인덱스가 지정된 일정 시간 액세스
- 공간 효율성
- 기억 지역성",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Why is memory locality important?,기억의 국소성이 중요한 이유는 무엇인가요?,Physical continuity between successive data accesses helps exploit the high-speed cache memory on modern computer architectures.,연속적인 데이터 접근 간의 물리적 연속성은 현대 컴퓨터 아키텍처에서 고속 캐시 메모리를 활용하는 데 도움이 됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are some advantages to linked lists over arrays?,연결된 목록이 배열에 비해 어떤 장점이 있나요?,"- Overflow on linked structures can never occur unless the memory is actually full.
- Insertions and deletions are simpler than for contiguous (array) lists.
- With large records, moving pointers is easier and faster than moving the items themselves.","- 메모리가 실제로 가득 차 있지 않으면 연결된 구조물에서 오버플로우가 발생할 수 없습니다.
- 삽입 및 삭제는 연속적인 (어레이) 목록보다 더 간단합니다.
- 큰 기록에서는 포인터를 이동하는 것이 항목 자체를 이동하는 것보다 더 쉽고 빠릅니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are some advantages to arrays over linked lists?,연결된 목록에 비해 배열의 장점은 무엇인가요?,"- Linked structures require extra space for storing pointer fields.
- Linked lists do not allow efficient random access to items.
- Arrays allow better memory locality and cache performance than random pointer jumping.","- 연결된 구조는 포인터 필드를 저장하기 위한 추가 공간이 필요합니다.
- 연결된 목록은 항목에 대한 효율적인 무작위 접근을 허용하지 않습니다.
- 배열은 랜덤 포인터 점프보다 메모리 로컬리티와 캐시 성능을 향상시킵니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
